type,item_id,config,config_ts,value,name
tsmnode,6777,CfgTsmNodeKeep_mp,2021-02-12 22:40:56,NO,AIDB2
tsmnode,6777,CfgTsmNodeLast_replicated_to_server,2021-02-12 22:40:56,"",AIDB2
tsmnode,6777,CfgTsmNodeLastsess_commmeth,2021-02-12 22:40:56,Tcp/Ip,AIDB2
tsmnode,6777,CfgTsmNodeLocked,2021-02-12 22:40:56,NO,AIDB2
tsmnode,6777,CfgTsmNodeMacaddr,2021-02-12 22:40:56,00:50:56:A0:2C:D5,AIDB2
tsmnode,6777,CfgTsmNodeMax_mp_allowed,2021-02-12 22:40:56,2,AIDB2
tsmnode,6777,CfgTsmNodeNode_id,2021-02-12 22:40:56,191,AIDB2
tsmnode,6777,CfgTsmNodeNodegroup,2021-02-12 22:40:56,"",AIDB2
tsmnode,6777,CfgTsmNodeNodetype,2021-02-12 22:40:56,CLIENT,AIDB2
tsmnode,6777,CfgTsmNodeOption_set,2021-02-12 22:40:56,AIDB2,AIDB2
tsmnode,6777,CfgTsmNodePapi,2021-02-12 22:40:56,NO,AIDB2
tsmnode,6777,CfgTsmNodePassexp,2021-02-12 22:40:56,0,AIDB2
tsmnode,6777,CfgTsmNodePbrand,2021-02-12 22:40:56,Xeon,AIDB2
tsmnode,6777,CfgTsmNodePcount,2021-02-12 22:40:56,2,AIDB2
tsmnode,6777,CfgTsmNodePlatform_name,2021-02-12 22:40:56,WinNT,AIDB2
tsmnode,6777,CfgTsmNodePmodel,2021-02-12 22:40:56,E5-2620V3,AIDB2
tsmnode,6777,CfgTsmNodeProxy_agent,2021-02-12 22:40:56,"",AIDB2
tsmnode,6777,CfgTsmNodeProxy_target,2021-02-12 22:40:56,AIDBCLUSTER,AIDB2
tsmnode,6777,CfgTsmNodePtype,2021-02-12 22:40:56,6,AIDB2
tsmnode,6777,CfgTsmNodePvendor,2021-02-12 22:40:56,Intel,AIDB2
tsmnode,6777,CfgTsmNodePwset_time,2021-02-12 22:40:56,1467825359,AIDB2
tsmnode,6777,CfgTsmNodeRecover_damaged,2021-02-12 22:40:56,YES,AIDB2
